date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:45	21107/21107	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Aug%202021%2008:02:27%20GMT	https://hostrider.com/	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/index.html	(from )
14:16:45	24/24	---M--	200	added ('OK')	text/plain	date:Sun,%2031%20Jan%202021%2008:36:41%20GMT	https://hostrider.com/robots.txt		(from )
14:16:46	859/859	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:08%20GMT	https://hostrider.com/images/fav/favicon-16x16.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/favicon-16x16.png	(from https://hostrider.com/)
14:16:46	1393/1393	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:08%20GMT	https://hostrider.com/images/fav/favicon-32x32.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/favicon-32x32.png	(from https://hostrider.com/)
14:16:46	155365/155365	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:54:43%20GMT	https://hostrider.com/images/tw.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/tw.png	(from https://hostrider.com/)
14:16:47	3458/3458	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:08%20GMT	https://hostrider.com/images/fav/favicon-96x96.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/favicon-96x96.png	(from https://hostrider.com/)
14:16:47	6739/6739	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:08%20GMT	https://hostrider.com/images/fav/favicon-192x192.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/favicon-192x192.png	(from https://hostrider.com/)
14:16:48	2188/2188	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:07%20GMT	https://hostrider.com/images/fav/apple-touch-icon-57x57.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/apple-touch-icon-57x57.png	(from https://hostrider.com/)
14:16:48	5365/5365	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:07%20GMT	https://hostrider.com/images/fav/apple-touch-icon-152x152.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/apple-touch-icon-152x152.png	(from https://hostrider.com/)
14:16:48	6294/6294	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2016:55:07%20GMT	https://hostrider.com/images/fav/apple-touch-icon-180x180.png	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/images/fav/apple-touch-icon-180x180.png	(from https://hostrider.com/)
14:16:49	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Users/Tezkor02/Desktop/hostrider.com/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://hostrider.com/)
14:16:49	12078/12078	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20May%202021%2011:48:29%20GMT	https://hostrider.com/cat/style.css	C:/Users/Tezkor02/Desktop/hostrider.com/hostrider.com/cat/style.css	(from https://hostrider.com/)
14:16:50	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Tezkor02/Desktop/hostrider.com/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://hostrider.com/)
14:16:51	9624/9624	---M-Z	200	added ('OK')	application/javascript	etag:W/%222598-3nuOQPLRd09YbqmBuBiqu7kJRms%22	https://cdn.jsdelivr.net/npm/hockeystack@latest/hockeystack.min.js	C:/Users/Tezkor02/Desktop/hostrider.com/cdn.jsdelivr.net/npm/hockeystack@latest/hockeystack.min.js	(from https://hostrider.com/)
